experiment_id,epoch,train_loss,test_loss,accuracy,delta,lr,best_accuracy,mode,phase,timestamp,generalization_gap,acc_best_so_far,test_loss_best_so_far,train_loss_delta,test_loss_delta,delta_zone,test_loss_rolling_mean,test_loss_rolling_slope,accuracy_rolling_mean,accuracy_rolling_slope,lr_changed
greg_v3_20251222_235207,1,2.4594392303920465,1.7306649368020552,31.51,1.5304510177049027,0.01,31.51,PANIC,EXPLORATION,2025-12-23T00:02:02.613779,-0.7287742935899912,31.51,1.7306649368020552,,,Fora,,,,,False
greg_v3_20251222_235207,2,1.7428655084746574,1.4342519120325017,45.92,-2.1234124170170046,0.01,45.92,PANIC,EXPLORATION,2025-12-23T00:13:18.192688,-0.3086135964421557,45.92,1.4342519120325017,-0.7165737219173891,-0.29641302476955356,Fora,,,,,False
greg_v3_20251222_235207,3,1.463772927403755,1.289013589484782,51.23,-4.177348728217668,0.01,51.23,NORMAL,EXPLORATION,2025-12-23T00:24:04.394469,-0.1747593379189729,51.23,1.289013589484782,-0.2790925810709024,-0.14523832254771962,Fora,1.4846434794397796,-0.2208256736586366,42.88666666666666,9.859999999999998,False
greg_v3_20251222_235207,4,1.2889129981360472,1.0903203932544854,60.54,-5.508396273066496,0.01,60.54,NORMAL,EXPLORATION,2025-12-23T00:32:11.754639,-0.19859260488156183,60.54,1.0903203932544854,-0.17485992926770777,-0.1986931962302967,Fora,1.3860627078934562,-0.20662719531904292,47.3,9.239999999999998,False
greg_v3_20251222_235207,5,1.1622182495148896,0.9507405395749249,65.3,-6.013830432087561,0.01,65.3,NORMAL,EXPLORATION,2025-12-23T00:40:10.557818,-0.21147770993996473,65.3,0.9507405395749249,-0.1266947486211576,-0.1395798536795605,Fora,1.29899827422975,-0.19037803132322773,50.9,8.219999999999999,False
greg_v3_20251222_235207,6,1.0586686378244854,0.8462391971032831,69.77,-6.076022681247786,0.01,69.77,NORMAL,EXPLORATION,2025-12-23T00:48:15.227931,-0.2124294407212023,69.77,0.8462391971032831,-0.10354961169040422,-0.10450134247164178,Fora,1.1221131262899955,-0.17346731463133966,58.552,7.392857142857143,False
greg_v3_20251222_235207,7,0.9694730884888593,0.7984335588503487,71.7,-5.245608342371034,0.01,71.7,NORMAL,EXPLORATION,2025-12-23T00:56:16.446496,-0.17103952963851055,71.7,0.7984335588503487,-0.08919554933562612,-0.04780563825293438,Fora,0.9949494556535647,-0.15396402191512193,63.70799999999999,6.512142857142857,False
greg_v3_20251222_235207,8,0.8904002264637472,0.712574638520615,75.0,-4.590406550017611,0.01,75.0,NORMAL,EXPLORATION,2025-12-23T01:04:13.990619,-0.1778255879431322,75.0,0.712574638520615,-0.0790728620251121,-0.08585892032973375,Fora,0.8796616654607314,-0.12108118135556173,68.46199999999999,4.9075,False
greg_v3_20251222_235207,9,0.8315773824291766,0.6503794638416435,77.67,-4.079845933833319,0.01,77.67,NORMAL,EXPLORATION,2025-12-23T01:12:12.879518,-0.1811979185875331,77.67,0.6503794638416435,-0.05882284403457061,-0.06219517467897151,Fora,0.791673479578163,-0.10084645954006188,71.888,4.094285714285715,False
greg_v3_20251222_235207,10,0.7823819603456561,0.630043744663649,78.35,-3.4774739075710506,0.01,78.35,NORMAL,EXPLORATION,2025-12-23T01:20:10.321264,-0.15233821568200712,78.35,0.630043744663649,-0.04919542208352046,-0.020335719177994482,Fora,0.7275341205959078,-0.07554345199363356,74.498,2.9785714285714286,False
